Gender,Age,Branch,Administration Level,Entry Time,Years of Service,Highest Education Level,Status,Rank,Salary Rank,Description,Attrition
Male,39,BRC Culture & Tourism,Assistant General Manager,5/8/15,2,"Community College, Two-Year Program, or Equivalent ",Full-time,4,P 4.1,Commercial Operation-Commercial Management,Yes
Male,35,BRC Culture & Tourism,Assistant General Manager,5/21/15,0,Bachelor,Full-time,4,P 4.1,Commercial Operation-Planning,Yes
Male,37,BRC Culture & Tourism,Assistant General Manager,5/19/15,1,Bachelor,Full-time,4,P 4.1,Commercial Operation-Commercial Management,Yes
Female,26,BRC Culture & Tourism,Staff,7/1/15,2,Bachelor,Full-time,1,P 1.3,Commercial Operation-Planning,Yes
Male,31,BRC Culture & Tourism,Staff,11/2/16,1,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.3,Marketing & CRM-Marketing,Yes
Male,32,BRC Culture & Tourism,Manager,6/10/15,1,Bachelor,Full-time,3,P 3.1,Commercial Operation-Operation Management,Yes
Male,29,BRC Culture & Tourism,Staff,6/10/15,2,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.1,Commercial Operation-Investment,Yes
Male,41,BRC Culture & Tourism,Assistant General Manager,6/8/15,0,"Community College, Two-Year Program, or Equivalent ",Full-time,4,P 4.2,Commercial Operation-Investment,Yes
Male,29,BRC Culture & Tourism,Deputy Manager,7/1/15,3,Graduate Level (Master & Ph.d.),Full-time,2,P 2.1,Finance-Accounting,Yes
Male,37,BRC Culture & Tourism,Assistant General Manager,3/20/15,0,Bachelor,Full-time,4,P 4.2,Commercial Operation-Operation Management,Yes
Female,35,BRC Culture & Tourism,Manager,5/28/18,0,Bachelor,Full-time,3,P 3.1,Commercial Operation-Investment,Yes
Male,29,BRC Culture & Tourism,Staff,4/22/15,1,Bachelor,Full-time,1,P 1.3,Commercial Operation-Operation Management,Yes
Male,37,BRC Culture & Tourism,Deputy Manager,4/21/15,0,"Community College, Two-Year Program, or Equivalent ",Full-time,2,P 2.1,Commercial Operation-Operation Management,Yes
Male,29,BRC Culture & Tourism,Staff,4/23/15,0,Graduate Level (Master & Ph.d.),Intern,1,P 1.0,Commercial Operation-Planning,Yes
Male,37,BRC Culture & Tourism,Assistant General Manager,5/11/15,0,Bachelor,Full-time,4,P 4.1,Commercial Operation-Commercial Management,Yes
Male,32,BRC Culture & Tourism,Assistant General Manager,6/6/18,0,Bachelor,Full-time,4,P 4.1,Commercial Operation-Planning,Yes
Male,41,BRC Culture & Tourism,Assistant General Manager,11/8/17,1,Bachelor,Full-time,4,P 4.2,Commercial Operation-Operation Management,Yes
Male,29,BRC Culture & Tourism,Staff,10/24/17,0,Bachelor,Full-time,1,P 1.3,Commercial Operation-Customer Service,Yes
Male,23,BRC Culture & Tourism,Operator,10/25/17,0,Bachelor,Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Female,23,BRC Culture & Tourism,Staff,7/1/18,0,Bachelor,Part-time,1,P 1.1,Commercial Operation-Customer Service,Yes
Male,25,BRC Culture & Tourism,Staff,10/16/17,0,Bachelor,Full-time,1,P 1.1,Commercial Operation-Common,Yes
Female,34,BRC Culture & Tourism,Manager,9/21/17,0,Bachelor,Full-time,3,P 3.1,Marketing & CRM-Planning,Yes
Male,32,BRC Culture & Tourism,Staff,2/26/18,0,Bachelor,Full-time,1,P 1.3,Project Management,No
Male,31,BRC Culture & Tourism,Manager,3/1/18,0,Graduate Level (Master & Ph.d.),Full-time,3,P 3.1,Commercial Operation-Planning,No
Male,29,BRC Culture & Tourism,Staff,12/28/17,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.1,Marketing & CRM-Planning,Yes
Male,41,BRC Culture & Tourism,Deputy General Manager,1/5/18,0,"Community College, Two-Year Program, or Equivalent ",Full-time,5,M 5.1,Commercial Operation-Commercial Management,Yes
Female,25,BRC Culture & Tourism,Staff,5/3/18,0,Bachelor,Full-time,1,P 1.1,Finance-Accounting,Yes
Female,26,BRC Culture & Tourism,Staff,5/2/18,0,Bachelor,Full-time,1,P 1.3,Marketing & CRM-Planning,Yes
Male,31,BRC Culture & Tourism,Assistant General Manager,6/6/18,0,"Community College, Two-Year Program, or Equivalent ",Full-time,4,P 4.2,Marketing & CRM-Marketing,Yes
Male,39,BRC Culture & Tourism,Staff,5/3/18,0,High School,Full-time,1,P 1.3,Commercial Operation-Operation Management,Yes
Male,29,BRC Culture & Tourism,Manager,5/4/18,0,Bachelor,Full-time,3,P 3.1,Project Management,Yes
Male,29,BRC Culture & Tourism,Operator,5/2/18,0,High School,Full-time,1,P 1.0,Commercial Operation-Customer Service,Yes
Male,33,BRC Culture & Tourism,Operator,5/2/18,0,Under High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Female,28,BRC Culture & Tourism,Operator,5/2/18,0,High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Female,25,BRC Culture & Tourism,Operator,5/2/18,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.0,Commercial Operation-Customer Service,Yes
Male,25,BRC Culture & Tourism,Staff,12/28/17,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.3,Property Management,Yes
Male,35,BRC Culture & Tourism,Manager,11/24/17,0,Bachelor,Full-time,3,P 3.1,Bidding,Yes
Male,38,BRC Culture & Tourism,Assistant General Manager,12/29/17,1,Graduate Level (Master & Ph.d.),Full-time,4,P 4.1,Planning-Comprehensive,No
Female,25,BRC Culture & Tourism,Staff,5/4/18,0,Graduate Level (Master & Ph.d.),Intern,1,P 1.1,Planning-Comprehensive,Yes
Male,33,BRC Culture & Tourism,Staff,5/3/18,0,Bachelor,Full-time,1,P 1.3,Commercial Operation-Operation Management,Yes
Male,32,BRC Culture & Tourism,Manager,5/8/18,0,"Community College, Two-Year Program, or Equivalent ",Full-time,3,P 3.1,Marketing & CRM-Marketing,Yes
Male,27,BRC Culture & Tourism,Operator,5/8/18,0,High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Male,31,BRC Culture & Tourism,Manager,4/12/18,0,Bachelor,Full-time,3,P 3.1,Finance-Comprehensive,Yes
Male,49,BRC Culture & Tourism,General Manager,4/16/18,0,Graduate Level (Master & Ph.d.),Full-time,5,M 5.1,Project Management,No
Male,31,BRC Culture & Tourism,Assistant General Manager,4/23/18,0,"Community College, Two-Year Program, or Equivalent ",Full-time,4,P 4.2,Marketing & CRM-Marketing,No
Male,26,BRC Culture & Tourism,Staff,4/16/18,0,Graduate Level (Master & Ph.d.),Intern,1,P 1.1,Planning-Design,No
Male,41,BRC Culture & Tourism,Deputy General Manager,4/23/18,0,Bachelor,Full-time,5,M 5.1,Finance-Investment,No
Female,32,BRC Culture & Tourism,Manager,4/27/18,0,Graduate Level (Master & Ph.d.),Full-time,3,P 3.1,Planning-Design,Yes
Female,23,BRC Culture & Tourism,Staff,4/2/18,0,Bachelor,Intern,1,P 1.1,Auditing-Cost Management,Yes
Female,22,BRC Culture & Tourism,Staff,3/26/18,0,Bachelor,Intern,1,P 1.1,Marketing & CRM-Marketing,Yes
Male,35,BRC Culture & Tourism,Assistant General Manager,4/8/18,0,Bachelor,Full-time,4,P 4.1,Marketing & CRM-Planning,Yes
Female,34,BRC Culture & Tourism,Manager,4/13/18,0,Bachelor,Full-time,3,P 3.1,Commercial Operation-Planning,Yes
Male,35,BRC Culture & Tourism,Assistant General Manager,4/23/18,0,"Community College, Two-Year Program, or Equivalent ",Full-time,4,P 4.1,Marketing & CRM-Marketing,Yes
Male,31,BRC Culture & Tourism,Assistant General Manager,4/20/18,0,Graduate Level (Master & Ph.d.),Full-time,4,P 4.1,Planning-Comprehensive,No
Female,25,BRC Culture & Tourism,Staff,12/1/17,0,Graduate Level (Master & Ph.d.),Intern,1,P 1.1,Bidding,Yes
Male,38,BRC Culture & Tourism,Assistant General Manager,12/25/17,1,Bachelor,Full-time,4,P 4.1,Planning-Design,No
Female,37,BRC Culture & Tourism,Assistant General Manager,12/12/17,1,Bachelor,Full-time,4,P 4.1,Commercial Operation-Planning,No
Female,38,BRC Culture & Tourism,Assistant General Manager,12/11/17,0,Graduate Level (Master & Ph.d.),Full-time,4,P 4.2,Commercial Operation-Operation Management,Yes
Male,31,BRC Culture & Tourism,Manager,12/29/17,0,Bachelor,Full-time,3,P 3.1,Auditing-Cost Management,Yes
Male,33,BRC Culture & Tourism,Deputy Manager,12/14/17,0,Bachelor,Full-time,2,P 2.1,Administration,Yes
Male,33,BRC Culture & Tourism,Deputy General Manager,12/20/17,0,Bachelor,Full-time,5,P 5.1,Bidding,Yes
Male,35,BRC Culture & Tourism,Manager,1/24/18,0,"Community College, Two-Year Program, or Equivalent ",Full-time,3,P 3.1,Project Management,Yes
Male,32,BRC Culture & Tourism,Manager,12/11/17,0,Bachelor,Full-time,3,P 3.1,Auditing,Yes
Male,38,BRC Culture & Tourism,Assistant General Manager,2/25/18,0,Bachelor,Full-time,4,P 4.1,Project Management,No
Male,38,BRC Culture & Tourism,Assistant General Manager,3/1/18,0,Bachelor,Full-time,4,P 4.2,Project Management,No
Male,36,BRC Culture & Tourism,Assistant General Manager,1/24/18,0,Bachelor,Full-time,4,P 4.1,Finance-Comprehensive,Yes
Male,38,BRC Culture & Tourism,Assistant General Manager,1/19/18,1,Bachelor,Full-time,4,P 4.1,Commercial Operation-Planning,No
Male,57,BRC Culture & Tourism,Deputy Chairman,12/12/17,1,Bachelor,Full-time,8,M 8.1,Administration,No
Male,34,BRC Culture & Tourism,Manager,12/29/17,0,Bachelor,Full-time,3,P 3.1,Planning,Yes
Male,43,BRC Culture & Tourism,Manager,1/22/18,0,"Community College, Two-Year Program, or Equivalent ",Full-time,3,P 3.1,Commercial Operation-Operation Management,Yes
Male,23,BRC Culture & Tourism,Staff,11/28/17,0,Bachelor,Intern,1,P 1.1,Human Resources,Yes
Male,25,BRC Culture & Tourism,Operator,4/28/17,1,High School,Full-time,1,P 1.0,Commercial Operation-Commercial Management,Yes
Female,27,BRC Culture & Tourism,Operator,4/21/17,1,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.0,Finance-Seller,Yes
Female,24,BRC Culture & Tourism,Operator,4/21/17,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.0,Commercial Operation-Common,Yes
Female,27,BRC Culture & Tourism,Operator,4/21/17,0,High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Female,25,BRC Culture & Tourism,Operator,4/21/17,1,High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Female,26,BRC Culture & Tourism,Operator,4/21/17,0,High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Female,28,BRC Culture & Tourism,Operator,4/27/17,1,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.0,Commercial Operation-Customer Service,Yes
Male,23,BRC Culture & Tourism,Operator,4/21/17,0,High School,Full-time,1,P 1.0,Commercial Operation-Commercial Management,Yes
Female,28,BRC Culture & Tourism,Operator,4/21/17,1,High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Female,33,BRC Culture & Tourism,Operator,4/21/17,0,High School,Full-time,1,P 1.0,Commercial Operation-Operation Management,Yes
Female,31,BRC Culture & Tourism,Operator,4/21/17,1,High School,Full-time,1,P 1.0,Commercial Operation-Operation Management,Yes
Male,24,BRC Culture & Tourism,Operator,4/21/17,1,High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Female,27,BRC Culture & Tourism,Operator,4/21/17,0,High School,Full-time,1,P 1.0,Commercial Operation-Commercial Management,Yes
Male,37,BRC Culture & Tourism,Operator,3/29/17,0,High School,Full-time,1,P 1.0,Property Management,Yes
Male,35,BRC Culture & Tourism,Operator,4/21/17,0,High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Male,23,BRC Culture & Tourism,Operator,4/21/17,0,High School,Full-time,1,P 1.0,Commercial Operation-Commercial Management,Yes
Male,28,BRC Culture & Tourism,Operator,4/21/17,1,High School,Full-time,1,P 1.0,Commercial Operation-Commercial Management,Yes
Female,27,BRC Culture & Tourism,Operator,4/21/17,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.0,Commercial Operation-Commercial Management,Yes
Female,26,BRC Culture & Tourism,Operator,4/21/17,0,High School,Full-time,1,P 1.0,Commercial Operation-Operation Management,Yes
Female,32,BRC Culture & Tourism,Operator,4/21/17,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.0,Commercial Operation-Operation Management,Yes
Male,25,BRC Culture & Tourism,Operator,4/21/17,0,High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Female,22,BRC Culture & Tourism,Operator,4/21/17,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.0,Commercial Operation-Common,Yes
Male,25,BRC Culture & Tourism,Operator,5/1/17,0,High School,Full-time,1,P 1.0,Commercial Operation-Commercial Management,Yes
Male,47,BRC Culture & Tourism,Operator,4/21/17,1,Under High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Female,33,BRC Culture & Tourism,Operator,4/21/17,0,High School,Full-time,1,P 1.0,Commercial Operation-Operation Management,Yes
Male,24,BRC Culture & Tourism,Operator,4/21/17,0,High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Male,23,BRC Culture & Tourism,Operator,4/21/17,1,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.0,Commercial Operation-Common,Yes
Female,37,BRC Culture & Tourism,Operator,4/21/17,0,High School,Full-time,1,P 1.0,Commercial Operation-Commercial Management,Yes
Male,38,BRC Culture & Tourism,Operator,4/21/17,1,Under High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Female,28,BRC Culture & Tourism,Operator,3/27/17,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.0,Property Management,Yes
Female,27,BRC Culture & Tourism,Operator,4/21/17,0,High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Female,29,BRC Culture & Tourism,Operator,4/21/17,0,High School,Full-time,1,P 1.0,Commercial Operation-Operation Management,Yes
Female,41,BRC Culture & Tourism,Operator,4/21/17,0,High School,Full-time,1,P 1.0,Commercial Operation-Operation Management,Yes
Male,22,BRC Culture & Tourism,Operator,4/21/17,1,Under High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Male,38,BRC Culture & Tourism,Deputy General Manager,6/5/17,1,Bachelor,Full-time,5,P 5.1,Planning-Comprehensive,Yes
Female,28,BRC Culture & Tourism,Operator,4/21/17,1,High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Female,36,BRC Culture & Tourism,Operator,4/21/17,1,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.0,Commercial Operation-Operation Management,Yes
Female,25,BRC Culture & Tourism,Operator,4/21/17,1,High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Male,24,BRC Culture & Tourism,Operator,4/21/17,1,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.0,Commercial Operation-Common,Yes
Male,25,BRC Culture & Tourism,Operator,4/21/17,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.0,Commercial Operation-Common,Yes
Female,35,BRC Culture & Tourism,Operator,4/21/17,0,High School,Full-time,1,P 1.0,Commercial Operation-Commercial Management,Yes
Male,23,BRC Culture & Tourism,Operator,4/21/17,0,High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Male,25,BRC Culture & Tourism,Operator,4/21/17,0,High School,Full-time,1,P 1.0,Commercial Operation-Commercial Management,Yes
Female,29,BRC Culture & Tourism,Operator,4/21/17,1,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.0,Commercial Operation-Common,Yes
Male,29,BRC Culture & Tourism,Operator,4/21/17,1,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.0,Commercial Operation-Common,Yes
Female,34,BRC Culture & Tourism,Operator,4/21/17,0,High School,Full-time,1,P 1.0,Commercial Operation-Operation Management,Yes
Female,32,BRC Culture & Tourism,Operator,4/21/17,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.0,Commercial Operation-Common,Yes
Male,48,BRC Culture & Tourism,Operator,4/21/17,1,Under High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Female,28,BRC Culture & Tourism,Operator,4/21/17,1,High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Female,23,BRC Culture & Tourism,Operator,4/21/17,0,High School,Full-time,1,P 1.0,Commercial Operation-Operation Management,Yes
Male,33,BRC Culture & Tourism,Operator,4/21/17,0,Under High School,Full-time,1,P 1.0,Commercial Operation-Commercial Management,Yes
Female,29,BRC Culture & Tourism,Operator,4/21/17,0,High School,Full-time,1,P 1.0,Commercial Operation-Operation Management,Yes
Female,23,BRC Culture & Tourism,Operator,4/21/17,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.0,Commercial Operation-Commercial Management,Yes
Female,31,BRC Culture & Tourism,Operator,4/20/17,1,High School,Full-time,1,P 1.0,Commercial Operation-Common,No
Male,33,BRC Culture & Tourism,Operator,4/21/17,1,High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Female,30,BRC Culture & Tourism,Operator,4/21/17,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.0,Commercial Operation-Common,Yes
Male,32,BRC Culture & Tourism,Operator,4/5/17,1,High School,Full-time,1,P 1.0,Commercial Operation-Common,No
Female,27,BRC Culture & Tourism,Operator,4/21/17,0,High School,Full-time,1,P 1.0,Finance-Seller,Yes
Female,45,BRC Culture & Tourism,Operator,4/21/17,1,Under High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Male,26,BRC Culture & Tourism,Operator,4/5/17,1,High School,Full-time,1,P 1.0,Commercial Operation-Common,No
Male,26,BRC Culture & Tourism,Operator,4/21/17,1,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.0,Commercial Operation-Operation Management,Yes
Male,25,BRC Culture & Tourism,Operator,4/1/17,0,High School,Full-time,1,P 1.0,Commercial Operation-Operation Management,Yes
Female,31,BRC Culture & Tourism,Operator,4/21/17,0,High School,Full-time,1,P 1.0,Commercial Operation-Operation Management,Yes
Female,29,BRC Culture & Tourism,Operator,4/21/17,0,High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Male,22,BRC Culture & Tourism,Operator,4/21/17,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.0,Commercial Operation-Commercial Management,Yes
Female,35,BRC Culture & Tourism,Operator,4/21/17,1,High School,Full-time,1,P 1.0,Commercial Operation-Operation Management,Yes
Male,31,BRC Culture & Tourism,Staff,4/4/17,0,Bachelor,Full-time,1,P 1.3,Commercial Operation-Common,Yes
Female,32,BRC Culture & Tourism,Operator,4/21/17,0,High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Male,25,BRC Culture & Tourism,Operator,4/24/17,0,High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Male,25,BRC Culture & Tourism,Operator,4/21/17,1,High School,Full-time,1,P 1.0,Commercial Operation-Commercial Management,Yes
Female,22,BRC Culture & Tourism,Operator,4/21/17,1,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.0,Commercial Operation-Common,Yes
Male,29,BRC Culture & Tourism,Operator,3/30/17,0,High School,Full-time,1,P 1.0,Commercial Operation-Customer Service,Yes
Male,29,BRC Culture & Tourism,Operator,3/30/17,1,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.0,Project Management,Yes
Male,26,BRC Culture & Tourism,Operator,3/30/17,1,Under High School,Full-time,1,P 1.0,Project Management,Yes
Male,24,BRC Culture & Tourism,Operator,4/21/17,0,High School,Full-time,1,P 1.0,Commercial Operation-Commercial Management,Yes
Male,25,BRC Culture & Tourism,Operator,2/15/17,2,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.0,Commercial Operation-Common,No
Male,31,BRC Culture & Tourism,Operator,4/19/17,1,Under High School,Full-time,1,P 1.0,Commercial Operation-Commercial Management,No
Female,33,BRC Culture & Tourism,Operator,4/21/17,0,High School,Full-time,1,P 1.0,Finance-Seller,Yes
Female,39,BRC Culture & Tourism,Assistant General Manager,5/22/17,0,Bachelor,Full-time,4,P 4.2,Planning-Comprehensive,Yes
Male,24,BRC Culture & Tourism,Operator,4/21/17,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.0,Commercial Operation-Commercial Management,Yes
Male,28,BRC Culture & Tourism,Operator,4/21/17,1,High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Male,36,BRC Culture & Tourism,Operator,4/21/17,0,High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Female,27,BRC Culture & Tourism,Operator,4/21/17,1,High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Male,26,BRC Culture & Tourism,Operator,4/21/17,1,High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Male,27,BRC Culture & Tourism,Staff,4/17/17,1,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.3,Commercial Operation-Operation Management,Yes
Female,29,BRC Culture & Tourism,Operator,4/21/17,0,High School,Full-time,1,P 1.0,Finance-Seller,Yes
Male,25,BRC Culture & Tourism,Operator,4/21/17,1,High School,Full-time,1,P 1.0,Finance-Seller,Yes
Female,30,BRC Culture & Tourism,Operator,4/21/17,0,High School,Full-time,1,P 1.0,Commercial Operation-Operation Management,Yes
Male,54,BRC Culture & Tourism,Operator,4/21/17,1,High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Female,31,BRC Culture & Tourism,Operator,4/21/17,1,High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Male,49,BRC Culture & Tourism,Operator,4/21/17,1,High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Female,27,BRC Culture & Tourism,Operator,4/21/17,0,High School,Full-time,1,P 1.0,Commercial Operation-Commercial Management,Yes
Male,28,BRC Culture & Tourism,Operator,5/1/17,0,High School,Full-time,1,P 1.0,Commercial Operation-Commercial Management,Yes
Male,30,BRC Culture & Tourism,Operator,4/13/17,1,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.0,Commercial Operation-Common,Yes
Male,24,BRC Culture & Tourism,Operator,4/21/17,0,High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Male,24,BRC Culture & Tourism,Operator,4/13/17,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.0,Commercial Operation-Operation Management,Yes
Female,31,BRC Culture & Tourism,Operator,4/5/17,1,High School,Full-time,1,P 1.0,Commercial Operation-Common,No
Male,44,BRC Culture & Tourism,Operator,4/21/17,0,High School,Full-time,1,P 1.0,Commercial Operation-Commercial Management,Yes
Female,33,BRC Culture & Tourism,Operator,4/21/17,0,High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Female,31,BRC Culture & Tourism,Operator,4/20/17,1,High School,Full-time,1,P 1.0,Commercial Operation-Common,No
Male,28,BRC Culture & Tourism,Operator,4/5/17,1,High School,Full-time,1,P 1.0,Commercial Operation-Commercial Management,No
Female,34,BRC Culture & Tourism,Operator,4/20/17,1,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.0,Commercial Operation-Common,No
Male,25,BRC Culture & Tourism,Staff,4/1/17,1,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.1,Marketing & CRM-Channel,Yes
Female,30,BRC Culture & Tourism,Operator,4/21/17,0,High School,Full-time,1,P 1.0,Commercial Operation-Operation Management,Yes
Male,28,BRC Culture & Tourism,Operator,4/21/17,0,High School,Full-time,1,P 1.0,Commercial Operation-Commercial Management,Yes
Female,35,BRC Culture & Tourism,Operator,4/21/17,0,High School,Full-time,1,P 1.0,Commercial Operation-Operation Management,Yes
Male,36,BRC Culture & Tourism,Manager,4/24/18,0,Bachelor,Full-time,3,P 3.1,Planning-Design,Yes
Male,32,BRC Culture & Tourism,Manager,4/27/18,0,Bachelor,Full-time,3,P 3.2,Investment,No
Male,31,BRC Culture & Tourism,Assistant General Manager,8/31/18,0,Bachelor,Full-time,4,P 4.1,Auditing,No
Male,28,BRC Culture & Tourism,Operator,4/16/18,0,High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Female,22,BRC Culture & Tourism,Staff,4/11/18,0,Bachelor,Intern,1,P 1.1,Planning,Yes
Female,29,BRC Culture & Tourism,Manager,4/17/18,0,Bachelor,Full-time,3,P 3.1,Investment,Yes
Male,44,BRC Culture & Tourism,Manager,4/17/18,0,Bachelor,Full-time,3,P 3.1,Commercial Operation-Operation Management,Yes
Male,29,BRC Culture & Tourism,Manager,5/2/18,0,Bachelor,Full-time,3,P 3.1,Marketing & CRM-Marketing,No
Male,28,BRC Culture & Tourism,Manager,4/27/18,0,Graduate Level (Master & Ph.d.),Full-time,3,P 3.1,Finance-Tax,Yes
Male,32,BRC Culture & Tourism,Operator,4/19/18,0,High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Male,28,BRC Culture & Tourism,Operator,5/2/18,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.0,Commercial Operation-Operation Management,Yes
